Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.3,123,0.1,l1,liblinear,,0.64,0.631578947368421,0.8571428571428571,0.36363636363636365
0.3,123,0.1,l1,liblinear,balanced,0.66,0.7037037037037037,0.6785714285714286,0.6363636363636364
0.3,123,0.1,l2,liblinear,,0.6,0.6111111111111112,0.7857142857142857,0.36363636363636365
0.3,123,0.1,l2,liblinear,balanced,0.6,0.6176470588235294,0.75,0.4090909090909091
0.3,123,1.0,l1,liblinear,,0.6,0.6176470588235294,0.75,0.4090909090909091
0.3,123,1.0,l1,liblinear,balanced,0.6,0.625,0.7142857142857143,0.45454545454545453
0.3,123,1.0,l2,liblinear,,0.56,0.5789473684210527,0.7857142857142857,0.2727272727272727
0.3,123,1.0,l2,liblinear,balanced,0.58,0.6,0.75,0.36363636363636365
0.3,123,10.0,l1,liblinear,,0.56,0.5833333333333334,0.75,0.3181818181818182
0.3,123,10.0,l1,liblinear,balanced,0.58,0.6,0.75,0.36363636363636365
0.3,123,10.0,l2,liblinear,,0.56,0.5789473684210527,0.7857142857142857,0.2727272727272727
0.3,123,10.0,l2,liblinear,balanced,0.54,0.5675675675675675,0.75,0.2727272727272727
0.3,123,100.0,l1,liblinear,,0.56,0.5833333333333334,0.75,0.3181818181818182
